sp,0.012472,1.479138
I,1.479138,1.588889
KNOW,1.588889,1.708617
THAT,1.708617,1.908163
PERSONALLY,1.908163,2.426984
I,2.426984,2.586621
THINK,2.586621,2.875964
THAT,2.875964,3.414739
REALLY,3.414739,3.873696
THE,3.873696,4.242857
ONLY,4.242857,4.402494
WAY,4.402494,4.621995
WE'RE,4.621995,4.861451
GONNA,4.861451,5.240590
sp,5.240590,5.360317
METAPHORICALLY,5.360317,7.086395
MAKE,7.086395,7.355782
A,7.355782,7.455556
DIAMOND,7.455556,8.044218
sp,8.044218,8.612925
IS,8.612925,9.141723
TO,9.141723,9.850113
sp,9.850113,9.890023
POLISH,9.890023,10.299093
IT,10.299093,10.738095
AND,10.738095,11.137188
sp,11.137188,11.526304
IT'S,11.526304,11.685941
GONNA,11.685941,11.845578
TAKE,11.845578,11.995238
A,11.995238,12.025170
LOT,12.025170,12.254649
OF,12.254649,12.314512
FRICTION,12.314512,12.793424
TO,12.793424,12.903175
GET,12.903175,13.162585
BECOME,13.162585,13.591610
THAT,13.591610,13.811111
DIAMOND,13.811111,14.210204
sp,14.210204,14.729025
I'VE,14.729025,14.898639
ALWAYS,14.898639,15.257823
LOVED,15.257823,15.457370
THAT,15.457370,15.676871
REFERENCES,15.676871,16.315420
sp,16.315420,16.684580
AND,16.684580,16.914059
I,16.914059,17.063719
THINK,17.063719,17.482766
sp,17.482766,17.981633
IT,17.981633,18.141270
IN,18.141270,18.211111
MANY,18.211111,18.460544
ASPECTS,18.460544,18.959410
IS,18.959410,19.178912
TRUE,19.178912,19.807483
sp,19.807483,19.937188
BUT,19.937188,20.984807
THERE,20.984807,21.174376
ARE,21.174376,21.204308
ALSO,21.204308,21.483673
CERTAIN,21.483673,21.882766
WAYS,21.882766,22.212018
WHERE,22.212018,22.780726
IT,22.780726,22.930385
sp,22.930385,23.259637
IS,23.259637,23.459184
NOT,23.459184,23.758503
TRUE,23.758503,24.337188
I,24.337188,24.506803
MEAN,24.506803,24.706349
